GPU Info: NVIDIA A100 80GB PCIe
Starting SAC in MuJoCo environment training...
Starting SAC + clip in MuJoCo environment training...
Command: srun uv run python experiments/mujoco/sac_vlm.py   --env-id HumanoidStandup-v4   --run-id 10486461   --seed 1   --total-timesteps 1000000   --vlm-goal 'A humanoid robot standing on both legs on a flat surface without falling.'   --vlm-n-frames 4   --vlm-frame-every 4   --vlm-clip-every 16   --track   --capture-video   --wandb-project-name cleanrl-experiments --vlm-model-type clip --vlm-model-id openai/clip-vit-base-patch32 --video-every 500
CLIP Initialized: model=openai/clip-vit-base-patch32 n_frames=4, frame_every=4, clip_every=16
 Goal: 'A humanoid robot standing on both legs on a flat surface without falling.', delta_reward=True, normalize_reward=True
[VLM Debug] Reset: raw=0.2190
[VLM Debug] step=16 | raw=0.2175 | shaped=0.0000 | reward_mean=-0.0015
[VLM Debug] step=528 | raw=0.2401 | shaped=9.5655 | reward_mean=0.0004
[VLM Debug] step=544 | raw=0.2303 | shaped=-13.5744 | reward_mean=0.0003
[VLM Debug] step=560 | raw=0.2335 | shaped=3.8441 | reward_mean=0.0003
[VLM Debug] step=576 | raw=0.2297 | shaped=-5.5296 | reward_mean=0.0003
[VLM Debug] step=592 | raw=0.2411 | shaped=14.8225 | reward_mean=0.0004
[VLM Debug] step=608 | raw=0.2389 | shaped=-3.4336 | reward_mean=0.0003
[VLM Debug] step=624 | raw=0.2343 | shaped=-6.7093 | reward_mean=0.0003
[VLM Debug] step=640 | raw=0.2405 | shaped=7.9533 | reward_mean=0.0003
[VLM Debug] step=656 | raw=0.2485 | shaped=10.3836 | reward_mean=0.0004
[VLM Debug] step=672 | raw=0.2406 | shaped=-11.1988 | reward_mean=0.0003
[VLM Debug] step=688 | raw=0.2419 | shaped=1.3445 | reward_mean=0.0004
[VLM Debug] step=704 | raw=0.2439 | shaped=2.1667 | reward_mean=0.0004
[VLM Debug] step=720 | raw=0.2454 | shaped=1.5002 | reward_mean=0.0004
[VLM Debug] step=736 | raw=0.2394 | shaped=-8.6015 | reward_mean=0.0003
[VLM Debug] step=752 | raw=0.2362 | shaped=-4.7657 | reward_mean=0.0003
[VLM Debug] step=768 | raw=0.2430 | shaped=8.8535 | reward_mean=0.0003
[VLM Debug] step=784 | raw=0.2502 | shaped=9.3160 | reward_mean=0.0004
[VLM Debug] step=800 | raw=0.2428 | shaped=-10.6305 | reward_mean=0.0003
[VLM Debug] step=816 | raw=0.2335 | shaped=-13.0540 | reward_mean=0.0003
[VLM Debug] step=832 | raw=0.2319 | shaped=-2.5698 | reward_mean=0.0003
[VLM Debug] step=848 | raw=0.2340 | shaped=2.4244 | reward_mean=0.0003
[VLM Debug] step=864 | raw=0.2446 | shaped=14.0255 | reward_mean=0.0003
[VLM Debug] step=880 | raw=0.2484 | shaped=4.6818 | reward_mean=0.0004
[VLM Debug] step=896 | raw=0.2313 | shaped=-23.5353 | reward_mean=0.0003
[VLM Debug] step=912 | raw=0.2452 | shaped=18.2910 | reward_mean=0.0003
[VLM Debug] step=928 | raw=0.2412 | shaped=-5.8765 | reward_mean=0.0003
[VLM Debug] step=944 | raw=0.2397 | shaped=-2.4118 | reward_mean=0.0003
[VLM Debug] step=960 | raw=0.2418 | shaped=2.3696 | reward_mean=0.0003
[VLM Debug] step=976 | raw=0.2407 | shaped=-1.9259 | reward_mean=0.0003
[VLM Debug] step=992 | raw=0.2338 | shaped=-9.8400 | reward_mean=0.0003
global_step=4002, episode=3, episodic_return=32.224
    -> Best video saved: videos/HumanoidStandup-v4_sac_vlm_10486461/best_step-4002_episode-3.mp4
    -> New best: episodic_return=32.224
[VLM Debug] Reset: raw=0.2286
[VLM Debug] step=16 | raw=0.2179 | shaped=-14.8799 | reward_mean=0.0002
[VLM Debug] step=32 | raw=0.2212 | shaped=4.1194 | reward_mean=0.0003
[VLM Debug] step=48 | raw=0.2145 | shaped=-9.4217 | reward_mean=0.0002
[VLM Debug] step=64 | raw=0.2152 | shaped=0.6789 | reward_mean=0.0002
[VLM Debug] step=80 | raw=0.2111 | shaped=-5.9425 | reward_mean=0.0002
[VLM Debug] step=96 | raw=0.2096 | shaped=-2.2826 | reward_mean=0.0002
[VLM Debug] step=112 | raw=0.2069 | shaped=-3.9382 | reward_mean=0.0002
[VLM Debug] step=128 | raw=0.2258 | shaped=25.2038 | reward_mean=0.0003
[VLM Debug] step=144 | raw=0.2200 | shaped=-8.2573 | reward_mean=0.0002
[VLM Debug] step=160 | raw=0.2242 | shaped=5.4297 | reward_mean=0.0003
[VLM Debug] step=176 | raw=0.2233 | shaped=-1.6746 | reward_mean=0.0003
[VLM Debug] step=192 | raw=0.2212 | shaped=-3.1583 | reward_mean=0.0002
[VLM Debug] step=208 | raw=0.2273 | shaped=7.9316 | reward_mean=0.0003
[VLM Debug] step=224 | raw=0.2267 | shaped=-1.1966 | reward_mean=0.0003
[VLM Debug] step=240 | raw=0.2150 | shaped=-16.2189 | reward_mean=0.0002
[VLM Debug] step=256 | raw=0.2203 | shaped=6.9736 | reward_mean=0.0002
[VLM Debug] step=272 | raw=0.2263 | shaped=7.7797 | reward_mean=0.0003
[VLM Debug] step=288 | raw=0.2410 | shaped=19.3959 | reward_mean=0.0003
[VLM Debug] step=304 | raw=0.2412 | shaped=-0.0992 | reward_mean=0.0003
[VLM Debug] step=320 | raw=0.2212 | shaped=-27.1423 | reward_mean=0.0002
[VLM Debug] step=336 | raw=0.2223 | shaped=1.1462 | reward_mean=0.0002
[VLM Debug] step=352 | raw=0.2355 | shaped=17.2373 | reward_mean=0.0003
[VLM Debug] step=368 | raw=0.2296 | shaped=-8.2006 | reward_mean=0.0003
[VLM Debug] step=384 | raw=0.2247 | shaped=-6.8753 | reward_mean=0.0003
[VLM Debug] step=400 | raw=0.2123 | shaped=-16.8907 | reward_mean=0.0002
[VLM Debug] step=416 | raw=0.2238 | shaped=14.9528 | reward_mean=0.0002
[VLM Debug] step=432 | raw=0.2150 | shaped=-11.9771 | reward_mean=0.0002
[VLM Debug] step=448 | raw=0.2246 | shaped=12.4899 | reward_mean=0.0002
[VLM Debug] step=464 | raw=0.2184 | shaped=-8.5759 | reward_mean=0.0002
[VLM Debug] step=480 | raw=0.2328 | shaped=18.7045 | reward_mean=0.0003
[VLM Debug] step=496 | raw=0.2277 | shaped=-7.1308 | reward_mean=0.0003
[VLM Debug] step=512 | raw=0.2258 | shaped=-2.7587 | reward_mean=0.0002
[VLM Debug] step=528 | raw=0.2404 | shaped=18.7961 | reward_mean=0.0003
[VLM Debug] step=544 | raw=0.2312 | shaped=-12.4325 | reward_mean=0.0003
[VLM Debug] step=560 | raw=0.2328 | shaped=1.7416 | reward_mean=0.0003
[VLM Debug] step=576 | raw=0.2362 | shaped=4.1537 | reward_mean=0.0003
[VLM Debug] step=592 | raw=0.2335 | shaped=-3.9192 | reward_mean=0.0003
[VLM Debug] step=608 | raw=0.2297 | shaped=-5.3638 | reward_mean=0.0003
[VLM Debug] step=624 | raw=0.2273 | shaped=-3.5741 | reward_mean=0.0002
[VLM Debug] step=640 | raw=0.2382 | shaped=14.0442 | reward_mean=0.0003
[VLM Debug] step=656 | raw=0.2373 | shaped=-1.5079 | reward_mean=0.0003
[VLM Debug] step=672 | raw=0.2350 | shaped=-3.4489 | reward_mean=0.0003
[VLM Debug] step=688 | raw=0.2350 | shaped=-0.3598 | reward_mean=0.0003
[VLM Debug] step=704 | raw=0.2310 | shaped=-5.7202 | reward_mean=0.0003
[VLM Debug] step=720 | raw=0.2333 | shaped=2.7517 | reward_mean=0.0003
[VLM Debug] step=736 | raw=0.2374 | shaped=5.1896 | reward_mean=0.0003
